title,desc
Pirates Go After Mobile,"[<p id=""speakable-summary""><img alt=""mDisney.jpg"" class=""right"" src=""http://old.mobilecrunch.com/wp-content/mDisney.jpg""/>You won’t need an “E Ticket” to experience the latest version of Pirates of the Caribbean: At World’s End, the latest installment of the Walt Disney Pictures franchise. mDisney, the mobile publishing unit of the “mouse house” announced last week a launch of a suite of mobile content based on the hit film. This includes a movie-based game titles (aptly enough) Pirates of the Caribbean: At World’s end, which is a casual adventure game designed specifically for the mobile systems. As either Capt’n Jack or Will Turner you embark on a pirate’s journey, that includes various mini-games.The lineup also includes Pirates Multiplayer as well as wallpapers, screensavers and ringtones.</p>, <p><a href=""http://www.phonecontent.com/bm/news/1842.shtml"">[Via PhoneContent]</a></p>]"
See What Your Website Visitors Are Doing With Crazy Egg,"[<p id=""speakable-summary""><img alt=""Crazy Egg Logo"" class=""shot2"" src=""https://beta.techcrunch.com/wp-content/uploads/2006/03/crazyegg1.jpg"" width=""175""/></p>, <p>Standard web statistic packages compete based on who can offer the most statistics, the most colorful graphs and trying to wrap usability around all that information. The guys at <a href=""http://www.crazyegg.com/"">Crazy Egg</a> have taken a different approach where you can measure and actually see what your users are doing when they visit your site, and from these results you can immediately optimize your site based on your visitors usage patterns. The result is that you can learn a lot more about your visitors from a lot less information that is found in analytics packages.</p>, <p>Installing Crazy Egg to track your site is a simple 2 step process, the first step is to tell your app your sites URL, so it can grab a copy of it, and the second step is to insert a javascript code snippet into your site which it will give you. The interface to all this is very simple and intuitive. Once you are setup you wait a few minutes and then the statistics will start flowing back to Crazy Egg. The best way to show what it does, since my words will not do it justice, is with a screenshot</p>, <p><img alt=""crazy egg heatmap"" class=""border"" src=""https://beta.techcrunch.com/wp-content/uploads/2006/03/crazyegg-heatmap.jpg"" width=""450""/></p>, <p>The above screenshot shows the heat overlay, which is where users are clicking and focusing their attention. Other parts of the application will show you where users click, and how many times.</p>, <p>Crazy Egg plans to launch in April and already has 4000 beta visitors signed up. There will be a free option which will be based on the number of visitors per month (the free option is likely to be up to 5000 visitors) and then paid options if your site has more visitors. Crazy Egg was developed by a team of 5 people based around the USA over the past few months, and the interface for the statistics is all client-side Javascript, with RubyOnRails in the backend. They have been self-funded to date but are exploring funding possibilities as well as potential partnerships (they are looking for distributors).</p>, <p>The aim of Crazy Egg is for webmasters and site owners to learn from visitor usage patterns and improve their site based on what they learn from the application, as opposed to having page after page of statistics. Some features currently in development will allow users to track ad performance so that ad campaigns can be refined, RSS integration and demographic information of your visitors (filtering the map based on which visitors you wish to see).</p>, <p>The competition at the moment has similar services but targeted at large corporations (such as the site optimization services from <a href=""http://www.atlassolutions.com/enterprise/usability"">Atlas</a>), Crazy Egg delivers this kind of technology and tracking ability down to a simple level so that any body can use it and more importantly so that most people can afford it. It is very simple to understand, implement on your site and the results are stunning. Another site promising optimisation tools, probably not as cool as the heat overlay in Crazy Egg, is <a href=""http://www.mapsurface.com/"">Map Surface</a> – which is currently in a private beta.</p>, <p>Most site owners now are probably tracking conversion rates and looking at statistics, but when it comes to trying to enhance those results it is often trial and error. This is the situation I have been in for a long time now, but with Crazy Egg I can see what my users are doing and learn from that then optimize my site accordingly.</p>, <p>Pete Cashmore at Mashable also <a href=""http://mashable.com/2006/03/10/crazy-egg-is-crazy-delicious/"">reviewed Crazy Egg a few days ago</a>.</p>, <p><img alt=""Crazy Egg Screenshot"" class=""border"" src=""https://beta.techcrunch.com/wp-content/uploads/2006/03/crazyegg-screen2.jpg"" width=""450""/></p>]"
Roger’s Hearing Voices,"[<p id=""speakable-summary""><img alt=""prada.jpg"" class=""right"" src=""http://old.mobilecrunch.com/wp-content/prada.jpg""/>File this one under the “There I said it” category. Or more accurately the “Roger said it” category. Finally someone has spoken up about the direction that this next generation of handsets is taking, and I couldn’t agree more. Do we really need touch screen phones such as the Prada or the iPhone? What’s happening on the voice centric side asks Roger? Good point. A phone that works with voice… now that would be truly smart!</p>, <p>And size. The iPhone is going to be huge. Isn’t smaller suppose to be better with portable devices? Of course for mobile Web and gaming, size matters. Well, guess we can’t have everything.</p>, <p><a href=""http://rogerentner.com/2007/06/03/hearing-voices-in-my-head/"">Hearing Voices in My Head</a> [Roger’s Take on the Wireless World]</p>]"
Last.fm proves widgets work – but do the Brits get it?,"[<p id=""speakable-summary"">CBS-owned <a href=""http://www.Last.fm"">Last.fm</a> says 3rd party web widgets hooked into its API added 19 million music users to its user base in January, in addition to the 21 million active users accessing the service through the Last.fm site itself. As a result it has launched a dedicated showcase site to highlight the best widgets and tools. The site opened to developers in 2003 but has not set up a dedicated home for them at <a href=""http://build.last.fm/"">build.last.fm</a>. Some of the widgets that have come from this innovation include a tool that shows favourite CD covers on WordPress blogs, a tool that graphs music preferences and one that tracks listening habits on a user’s mobile phone.</p>, <p>So here’s a question. Why was is it that at last night’s <a href=""http://www.mashupevent.com/event/mashup-event-widgets-gadgets"">Mashup event on widgets on London</a> last night, so many audience questions about widgets were along the lines of “Where’s the money?”. Was the audience just plain dumb or did the eminent list of <a href=""http://www.mashupevent.com/event/mashup-event-widgets-gadgets"">speakers</a> not get the information across well enough?</p>, <p>I noticed that plenty of ‘brand managers’ in the audience seemed to be worried about what would happen if someone put a widget containing their brand on a site which did not portray their brand in the best light. But I have to ask, what about lots of people putting the widget in the perfect place for their brand? Ever heard of the long tail? This feels like a very old and dead conversation. The people who don’t get this are seriously in trouble.</p>]"
Mailroom Manages Small Business Mail,"[<p id=""speakable-summary""><a href=""http://www.sproutit.com/mailroom""><img alt=""sproutit logo"" class=""shot"" src=""https://beta.techcrunch.com/wp-content/uploads/2006/03/sproutit-logo.jpg"" width=""175""/></a></p>, <p>I am constantly looking for new products that will make my own business more efficient and perform better, and while finding a lot of good solutions for key problems, more often I find solutions to problems that I hadn’t really thought of. The latest solution that I am using now that saves us both time and help us perform better is <a href=""http://www.sproutit.com/mailroom"">Mailroom</a> from <a href=""http://www.sproutit.com/"">Sproutit</a>. Mailroom is a web-based small business email management application that allows multiple users to manage multiple email addresses effectively.</p>, <p>The way it works it that you point all your sales, support and general email to your Mailroom account from where you can have multiple users read them, respond to them, assign them and clearly see which emails need attention. One of the really strong points of this solution is that when replying to emails it allows you to drop in standard responses based on the email you have received and previous responses to similar emails. There is no need to setup standard template responses as you can pick and choose which paragraphs you wish to reply with based on what you wrote previously.</p>, <p>With a single place for all emails it means that all your staff can work as a team in replying to emails, and with the response suggestions they can’t really go wrong. If they can’t respond to an email then they simply assign it to somebody who can. This sure does beat having a single email account where you often get into an internal email thread about who is going to respond to it, or worse 2 people respond to it. Also a lot better than routing rules on your mail server, or not having a sales query responded to because your only sales guy was on holidays.</p>, <p>As with all good web solutions, Mailroom was born from Sproutit’s own frustration with handling business email efficiently. Sproutit was founded by <a href=""http://www.okito.net/"">Charles Jolley</a> (CEO), <a href=""http://texan.blogs.com/"">Chris Bauman</a> (CFO) and Peter Gohman, (Operations). They are a California company but the trio moved to Prague, in the Czech Republic last September during the bootstrapping phase of the business. They will be returning to the Bay Area in summer but at the moment have another 9 team members living in various parts of the world. Sproutit debuted Mailroom at the DEMO conference recently (<a href=""http://www.demo.com/demonstrators/demo2006/63034.html"">you can see the video here</a>) and have had a good uptake of users, to the point that after only a few weeks they had to expand their server setup.</p>, <p>The future looks bright for Mailroom and they are constantly refining and enhancing the product, almost on a daily basis. Over the next few months users should expect more features such as having the ability to have Mailroom to take care of all email, not just support and sales. Pricing starts at $19 per month (100 emails a day – spam not included) through to $199 a month (2000+ a day), all plans allow for an unlimited number of users.</p>, <p>There are a couple of key points with this solution, the first is better email management and in turn better customer management. The second is faster responses which will save you time and overall better customer service. There is a key value proposition here for small businesses who can use the free account to find out just how much hassle it saves them. Getting setup with Mailroom is simple and the pricing is reasonable considering the time being saved in having not only a hosted email solution, but one that saves you time and enables you to serve your own customers better. I didn’t see much from the competition that can compete on ease of use, features, price and value – that’s why we are still using Mailroom and will continue to.</p>, <p><img alt=""Sproutit Screenshot"" class=""border"" src=""https://beta.techcrunch.com/wp-content/uploads/2006/03/sproutit-screen.jpg"" width=""450""/></p>]"
AT&T Wireless Goes International With SMS,"[<p id=""speakable-summary""><img alt=""attlogo.jpg"" class=""left"" src=""http://old.mobilecrunch.com/wp-content/attlogo.jpg""/>Text messaging might just be the way to stay in touch with friends and relatives in far off lands. And while U.S. carriers have lagged behind Europe and Asia in SMS services that could be changing. Telecommunications Industry News is reporting that AT&amp;T has announced America’s first widely available international text messaging plan. For as little as 10 cents a message users will be able to send SMS messages to other mobile phone users overseas. AT&amp;T mobile phone subscribers can pay $9.99 a month to send up to 100 international messages to more than 140 countries around the world.</p>, <p><a href=""http://www.teleclick.ca/2007/06/att-wireless-launches-international-sms-service/"">AT&amp;T Wireless Launches International SMS Service</a> [Telecommunications Industry News]</p>]"
Fight Identity Theft with TrustedID,"[<p id=""speakable-summary""><a href=""http://www.trustedid.com""><img src=""https://beta.techcrunch.com/wp-content/uploads/2006/03/trustedidlogo.gif"" style=""float:right;""/></a><a href=""http://www.trustedid.com"">TrustedID</a> launched their first product, <a href=""https://www.trustedid.com/press/IDFreeze_PRN_0313.html"">IDFreeze</a> yesterday (and announced funding by Draper Fisher Jurveston) to help protect consumers from identity theft. I met with co-founder Scott Mitic today about his company.</p>, <p>Identity theft is a really big and really expensive problem. In the U.S. alone, ten million people per year fall victim to identity thieves – and sometimes it takes years to track down what’s happened, shut down fake credit accounts in victims’ names and restore their credit and name to good standing. Shredding mail and other personal documents is not enough to protect yourself, either. Last year, over 50 million consumer data records were lost by corporations.  The FTC estimates that identity theft costs our economy about $50 billion per year. For more information on  identity theft, see <a href=""https://www.trustedid.com/resourceCenter/identityTheftFacts.html"">here</a>.</p>, <p><img alt="""" style=""float:left;""/>And things aren’t getting better. Twelve states have enacted legislation that allows consumers to lock down credit – meaning no third party can request to view your credit information unless and until you unblock your credit report for them. A whole group of companies, including credit bureaus, auto dealers and retailers, are opposed to this kind of legislation because it makes their job – selling your credit information and/or opening new credit accounts for you – harder. To fight this state-level legislation, they are fighting hard at the federal level to enact <a href=""https://www.trustedid.com/resourceCenter/outlawingIdentiyTheft.html"">new legislation</a> forbidding states to regulate this area…and it looks like they might suceed.</p>, <p>This is where TrustedID comes in. First, they are fighting the federal legislation and trying to expand state level consumer protection laws. And second their new product, <a href=""https://www.trustedid.com/products/idFreeze.html"">IDFreeze</a>, will help consumers protect their credit.</p>, <p><img alt="""" style=""float:left;""/>The product works in different way depending on where you live. If you are in one of the twelve states that allows consumers to freeze their credit report, they will handle this for you (there are lots of fees and paperwork involved in getting this done – more hurdles that the credit bureaus have put in place to discourage consumers from doing this). If you are in another state, they will put a flag on your credit report that requires companies issuing you credit to contact you separately and verify that you intend to open a credit account. Either way, your level of protection will increase dramatically.</p>, <p>And if there is a problem with your account in the future, TrustedID will work to get your credit score cleaned up on your behalf.</p>, <p>The costs is $8 per month. I recommend everyone in the U.S. strongly consider using this service.</p>, <p><strong>UPDATE:</strong> 3/14/06 – The harshness of the comments below rivals what I saw on a <a href=""http://www.beta.techcrunch.com/2006/01/24/tellos-made-some-mistakes-already/"">post about Tello </a>that I wrote in January. I took a stab at refining and explaining my position (<a href=""http://www.beta.techcrunch.com/2006/03/13/trustedid-this-is-important/#comment-20027"">link is here</a>), and I hope that this helps explain why I like this company so much. I apologize to anyone who thinks that me showing this level of enthusiam for a company means that I am being paid off somehow – that isn’t true for this post or any other that I’ve written or will write in the future. I also note that, as usual, the worst comments are anonymous. I continue to strongly recomment that people take a look at this service. I will certainly be using it to protect my identity.</p>]"
Sticky Entry-Level Services Could Mobile,"[<p id=""speakable-summary""><img alt=""WAP.jpg"" class=""right"" src=""http://old.mobilecrunch.com/wp-content/WAP.jpg""/>Research analyst firm Berg Insight’s recent study suggests that the rise of Web 2.0 is fusing the fixed and mobile Internet into a single entity. The findings report that the wireless Internet will likely evolve just as the wired online world, and that moving forward the mobile communications sector should not be treated as a separate business. Entry-level sticky services, such as Internet browsing and instant messaging should be included in the monthly fee suggests the report, while higher bandwidth apps and content should be charged at a premium.</p>, <p><a href=""http://www.tekrati.com/research/News.asp?id=8855"">[via Tekrati]</a></p>]"
Sony Unleashes New DVD/CD Rewritable Drives,"[<p id=""speakable-summary"">&lt;img src=""https://beta.techcrunch.com/wp-content/uploads/2007/01/CD drives based on its 12th gen optical storage technology. Three of the drives will supplement the 830 series. The drives will write at 18x DVD±R, which can fill al 4.7GB 16x DVD±R  disc in five minutes. The internal DRU-830A and the external DRX-830U will come bundled with Nero 7 and are compatible with Windows. The DRX-830UL-T has dual compatibility with Mac and Windows and also comes with Roxio Toast 6.</p>, <p>Finally, the DRX-S50U is basically the same thing as the 830U, but it is intended for use with laptops and features a slimmer design for portability and whatnot. It also includes Nero 7.</p>, <p>The internal DRU-830A drive is shipping now for about $70 after a $20 mail-in rebate; the external DRX-830U burner is expected to ship in October for around $100 after a $30 mail-in rebate; and the external DRX-830UL-T burner will be available in December for about $120 after a $30 mail-in rebate. The DRX-S50U drive will be available in October for about $130.</p>, <p>Does anyone actually use rewritable discs anymore? I don't think I've used one since the 90s.</p>, <p><a href=""http://www.sonystyle.com"">Sony</a></p>]"
Photo Sharing with Burstcast,"[<p id=""speakable-summary""><img alt=""burstcast.jpg"" class=""left"" src=""http://old.mobilecrunch.com/wp-content/burstcast.jpg""/>Want to share the photos you’ve taken on your mobile phone? While it is easy enough to send them via e-mail, you can use Burstcast to send to one online location for all to see.</p>, <p>Burstcast is an online image viewer that lets you e-mail your photos directly from the camera where they are then posted to a Web page. Your phone number and other personal information remains secure as well, so all that’s posted is the photo. On the Web page you can mark your account to be private or public, and photos are online almost as soon as you hit send!</p>, <p><a href=""http://www.burstcast.com/"">Burstcast</a></p>]"
"Samsung YP-K5, Toughest Kid on the Block?","[<p id=""speakable-summary""><span class=""embed-youtube embed breakout embed--video"" style=""text-align:center; display: block;""><iframe allowfullscreen=""true"" class=""youtube-player"" height=""360"" sandbox=""allow-scripts allow-same-origin allow-popups allow-presentation"" src=""https://www.youtube.com/embed/aSoxCEavvSA?version=3&amp;rel=1&amp;showsearch=0&amp;showinfo=1&amp;iv_load_policy=1&amp;fs=1&amp;hl=en-US&amp;autohide=2&amp;wmode=transparent"" style=""border:0;"" width=""640""></iframe></span></p>, <p>Well this is about the stupidest thing I’ve ever seen, but it’s impressive nonetheless. This video shows some guy running over a Samsung YP-K5 MP3 boombox with his truck. I’m not sure why he did it, but the player withstood the beating admirably.</p>, <p><a href=""http://www.dapreview.net/comment.php?comment.news.3635"">The Samsung YP-K5 Gets Driven Over</a> [dapreview]</p>]"
Mobile Messaging Revenue Exceeds $1 Billion in Q1,"[<p id=""speakable-summary""><img alt=""verisign.jpg"" class=""left"" src=""http://old.mobilecrunch.com/wp-content/verisign.jpg""/>Mobile messaging through VeriSign’s digital infrastructure brought carriers topped $1 billion in the first quarter. The provider trafficked an excess of 17 billion messages, up from eight billion in the first quarter of 2006. The messaging peak occurs in the early evening hours, no doubt when plans are being made, or texting teens are (supposedly) doing their homework. At that time, as many as 20,000 messages pass through SMS messaging infrastructure per second. That’s a lot of thumb action. VeriSign handles 200 million messages on an average day (75 million average in January 2006).</p>, <p><a href=""http://www.verisign.com/"">VeriSign</a></p>]"
WeSmirch Automatically Digs Dirt,"[<p id=""speakable-summary""><a href=""http://www.wesmirch.com""><img alt=""weSmirch"" class=""shot2"" src=""https://beta.techcrunch.com/wp-content/uploads/2006/03/wesmirch-logo.jpg"" width=""175""/></a></p>, <p><a href=""http://www.wesmirch.com"">WeSmirch </a>is a new celebrity gossip and news portal powered by <a href=""http://www.memeorandum.com"">Memeorandum</a>. The technology behind Memeorandum will find the most popular stories from blog posts or news sites and cluster them together using a proprietary algorithm. What readers get is a single-page newspaper view of what the big stories are for a particular category and rank them accordingly, showing the stories as clusters of links from sources.</p>, <p>WeSmirch finds sources of news and aggregates the latest hot stories. WeSmirch picks up on stories relatively quickly, making it a good site to get your gossip fix without visiting a large number of seperate sites. It will also find stories that are potentially popular from much smaller sources and display them on the site. It has solved the problem of duplicates well and picks up those stories are the same or related even without the presence of links between the stories.</p>, <p>What regular Memeorandum readers will notice from tonight is that all three of the sites now powered by Memeorandum have included images within the story clusters. These images are taken from source articles and make the site look a lot better overall.</p>, <p><a href=""http://tech.memeorandum.com"">Tech.memeorandum</a> has been a big hit in the blogosphere since it launched last November, and previously at Techcrunch we have written about <a href=""http://www.beta.techcrunch.com/2006/02/04/a-look-at-the-memeorandum-killers/"">Memeorandum and other sites in this category</a>. Memeorandum has distinguished itself because it was one of the first in this field, and has managed to sustain a level of quality despite the best effort of others to spam the system.</p>, <p>Memeorandum creator <a href=""http://blog.memeorandum.com"">Gabe Rivera’s</a> policy to expanding the categories he covers has been to wait until there is enough interesting content for a particular category that people will actually want to read. The tech blogging community is very active with a large number of sources for stories and a constant news flow, but in other categories it is often harder to find what is popular algorithmically, to cluster a few sources together that are reliable and trusted and overall to keep a good flow of stories that are interesting.</p>, <p>This category is really heating up with more releases and more updates from the players in this field. The other sites that are tracking entertainment news at the moment are <a href=""http://megite.com/index.php?section=entertainment"">Megite</a> and <a href=""http://entertainment.blogniscient.com/"">Blogniscient</a> – I will leave it as an exercise to the reader as to which site does the best job of covering entertainment and gossip as it depends mostly on what your own preferences are.</p>, <p><img alt=""wesmirch screen"" class=""border"" src=""https://beta.techcrunch.com/wp-content/uploads/2006/03/wesmirch-screen1.jpg"" width=""450""/></p>]"
Amazon: Grid Storage Web Service Launches,"[<p id=""speakable-summary""><a href=""http://aws.amazon.com/s3""><img alt="""" style=""float:left;""/></a>Amazon Web Service is launching a new <a href=""http://aws.amazon.com/s3"">web service tonight called S3</a> – which stands for “Simple Storage Service”. It is a storage service backend for developers that offers “a highly scalable, reliable, and low-latency data storage infrastructure at very low costs”.</p>, <p>I was able to speak with Adam Selipsky (Amazon Web Services VP of Product Management and Developer Relations), Dave Barth (Product Manager for Amazon S3) and Andrew Herdener (Senior Public Relations Manager for Amazon) today about the service.</p>, <p>They’ve built the back end for the <a href=""http://www.beta.techcrunch.com/2005/11/21/companies-id-like-to-profile-but-dont-exist/"">number one requested company</a> that I wrote about late last year – reliable and cheap online storage. I’ve been watching this space very closely, even <a href=""http://www.beta.techcrunch.com/2006/01/31/the-online-storage-gang/"">profiling a number of new entrants</a>, and I have to say that S3 changes the game entirely. Move over <a href=""http://www.beta.techcrunch.com/2006/03/06/google-drive-what-we-know-so-far/"">Google Drive</a>, Amazon just stole your thunder (for now).</p>, <p>Until now, a sophisticated and scalable data storage infrastructure like Amazon’s has been beyond the reach of small developers. Amazon S3 enables any developer to leverage Amazon’s own benefits of massive scale with no up-front investment or performance compromises. Developers are now free to innovate knowing that no matter how successful their businesses become, it will be inexpensive and simple to ensure their data is quickly accessible, always available, and secure.</p>, <p>Here are the facts: This is a web service, and so Amazon is not releasing a customer facing service. They are offering standards-based REST and SOAP web services interfaces for developers. Entire classes of companies can be built on S3 that would not have been possible before due to infrastructure costs for the developer.</p>, <p>Virtually any file type is allowed, up to 5 GB. Files may be set as public, shared or private and will have a unique URL.</p>, <p>Pricing is cheaper than anything else I’ve seen: $0.15 per GB of storage per month, and $0.20 for each GB of data transferred up or downstream. This translates to <strong>$15 per month for 100 GB of storage</strong>, net of any transfer fees (to move that much data on to S3 would be a one time cost of $20). These prices are going to be significantly below the development and ongoing costs for small or medium sized storage projects – meaning a lot of the front end services I’ve previously profiled will be much better off moving their entire back end to S3.</p>, <p>This is game changing.</p>, <p>See <a href=""http://blogs.businessweek.com/the_thread/techbeat/archives/2006/03/amazons_newest.html"">Rob Hof at Business Week </a>for his thoughts on S3 as well. He says “it should put to rest the notion, still popular among a few analysts, that Amazon is just a retailer.”</p>]"
Segway Polo,"[<p id=""speakable-summary""><a href=""http://video.google.com/googleplayer.swf?docId=-8940120949202973376&amp;hl=en"">http://video.google.com/googleplayer.swf?docId=-8940120949202973376&amp;hl=en</a></p>, <p>It’s amazing the sports people will come up with when given a little extra time. This time it’s polo–for Segway, and it’s pretty silly looking. It’s basically just some guys playing polo on their Segways and occasionally falling off. If competitive eating can be considered a sport, I don’t see why this can’t. With all those spills though, maybe they should take a look at <a href=""http://crunchgear.com/2006/09/14/segway-glitch-causes-recalls/"">that recall</a>.</p>, <p><a href=""http://www.consumerist.com/consumer/segway-polo/further-fallout-from-segway-recalls-201712.php"">Further Fallout From Segway Recalls</a> [Consumerist]</p>]"
"Mobile Web 2.0, an Overstatement?","[<p id=""speakable-summary""><img alt=""google.jpg"" class=""left"" src=""http://old.mobilecrunch.com/wp-content/google.jpg""/>It’s one thing to call social networking and commerce sites with advanced features Web 2.0, but to put the Mobile Web — which is in its infancy — in the same bucket may be overstretching definitions. mocoNews is reporting Google’s Sumit Agarwal, a product manager in the mobile division, is calling it “Web 0.5.” Form factors like small screens and tiny keypads with shared characters and digits may be holding back advancements, as do the walled garden portals. Progress may appear to be happening, but the post alludes to a slow evolution.</p>, <p><a href=""http://www.moconews.net/entry/419-mobile-web-20-may-be-too-ambitious-more-like-mobile-05/"">Mobile Web 2.0 May Be Too Ambitious, Let’s Call It Mobile 0.5</a> [mocoNews]</p>]"
Yamaha YSP-1100,"[<p id=""speakable-summary""><img class=""center"" src=""http://i86.photobucket.com/albums/k90/crunchgear/yamaha.png""/></p>, <p>The Yamaha YSP-1100 is a great looking system that features 40 individually-amped 1-inch drivers that simulate a surround sound experience. The unit  supports Dolby and DTS formats for maximum versatility. It seems to offer all the goods without the the trouble of cables, speaker mounting or clutter in our living room.</p>, <p>Another great feature of the Yamaha YSP-1100 is its Night Listening Enhancer mode, which allows quiet sounds (especially dialogue) to be heard crystal clear without the volume. And just in case you were wondering if this thing can project surround sound anywhere int the room, check this out:</p>, <p>
There are five selectable sound settings that allow users to choose between 5-Beam Mode, Stereo Mode, 3-Beam Mode, Stereo+3-Beam Mode and My Beam Mode. The YSP-1100 has a wider soundstage than its predecessors, affording more optimum listening positions within a room. My Beam mode allows users to focus sound to a specific position in their room at the touch of a button to avoid disturbing others.
</p>, <p>The Yamaha YSP-1100 is a sexy and load, but kinda pricey–she’ll be on the shelves for $1700. I guess it’s not too bad if you think of what the product features.</p>, <p><a href=""http://gizmodo.com/gadgets/home-entertainment/yamaha-ysp1100-flat-panel-shoots-surround-201737.php""> Yamaha YSP-1100 </a> [gizmodo]</p>]"
Users Touchy About Touchscreen Interface,"[<p id=""speakable-summary""><img alt=""touchscreenphones.jpg"" class=""center"" src=""http://old.mobilecrunch.com/wp-content/touchscreenphones.jpg""/><br/>
A report by Strategy Analytics “Positive Learning Curve for Touchscreen Devices” finds visual feedback and durability to be key to the success of touchscreen interfaces on mobile phones. While it’s OK to include a stylus for the phone’s operation, by definition and research, a touchscreen must respond to finger gestures. “Durability of the screen remains the number one concern for touchscreen devices. However, accuracy-enhancing technology and visual — rather than haptic — feedback are also keys to success,” said Paul Brown, senior user experience analyst at Strategy Analytics.</p>, <p><a href=""http://www.strategyanalytics.net/default.aspx?mod=PressReleaseViewer&amp;a0=3454"">Press Release</a></p>]"
Vast – Aggregating Listings From The Whole Web,"[<p id=""speakable-summary""><a href=""http://www.vast.com""><img alt=""vast logo"" class=""shot"" height=""96"" loading=""lazy"" src=""https://beta.techcrunch.com/wp-content/uploads/2006/03/vast-logo.jpg"" width=""117""/></a></p>, <p><a href=""http://www.vast.com"">Vast </a>is a search service that crawls the entire web and structures the data that it finds so that it can be categorized fully and indexed. The team launched a developer preview of the service tonight with three initial verticals available – Cars, Jobs and Profiles. Vast does an extremely impressive job of finding and categorizing data in the long tail – making it very simple for others to find listings from anywhere on the web.</p>, <p>The first thing that amazed me was how big Vast was. They crawl over 3 billion web pages and their intelligent algorithms have indexed 4.4 million cars for sale, 4.7 million job listings and 8.6 million user profiles – and this is just the beginning.  This already makes Vast the largest car sale database on the web, the 2nd or 3rd largest job listing site, and in the top 5 for number of personal listings (profiles from social networks, blogs etc.).</p>, <p>The key to Vast is that they have done an excellent job of aggregating the long tail, as well as the top sites, and they want developers to now ‘steal this site’ (as it says on their homepage). Vast is making all this information available through an API which developers and site owners can use to integrate with other services or to build their own services with. The licensing terms for the API are as liberal as they can get – they just ask that you don’t do anything illegal and that you attribute Vast as the source of your data. Developers can now build their own implementation of the world largest auto search site in a matter of days and do what they like with it (place ads on it, etc.). In fact, the Vast.com site itself is an implementation of this API that took only a couple of weeks to write.</p>, <p>There are a few secrets to Vast that makes them very good at aggregating listings and organizing them. The first is that they are very good at crawling the whole web, not just the pages that every crawler can see but also beyond authentication screens and into what is known as the ‘deep web’. Vast is very good at extracting information out of all types of web pages, those with complex markup, Javascript, Flash , different document types etc. so the index is very comprehensive.</p>, <p>The second is the artificial intelligence they have developed that recognizes a listing and pulls the vital metadata out of what is usually a messy web page and indexes that. For cars this is the make, model, year, price, location information (amongst many other fields). Vast isn’t built with particular verticals in mind, it learns what it needs to find and what a job listing looks like, what an auto listing looks like, so it will only take the Vast team a month or so to setup a new vertical and have the crawlers find all the information required for it.</p>, <p>What they have also developed well is spam filtering methods, Vast CEO <a href=""http://www.startupboy.com"">Naval Ravikant</a> told me that 70% of the listings that they find are spam or duplicates. The results that you get out of Vast are generally very clean.</p>, <p><img alt=""vast screen 1"" class=""shot2"" src=""https://beta.techcrunch.com/wp-content/uploads/2006/03/vast-screen1.jpg""/></p>, <p>The Vast business model is that later on at some point they will have paid listings within the search results, but only in results that do not have adequate results – so they will be adding sponsored listings in to ‘fill up’ the long tail of their own results. To the integrators, they just see these listings as any others. All listings link back to the original site so there isn’t as much of a threat of site owners wanting to block the Vast crawler as it is beneficial to them to have their listings indexed and syndicated out.</p>, <p>Vast was founded in April of 2005, but the project has been in development since 2000 and has taken multiple forms but has always been based around search. Vast is 21 people in total spread around the world with a development hub in Belgrade, Serbia and an office in San Francisco, California. They were funded by <a href=""http://www.leapfrogventures.com/"">Leapfrog Ventures</a> and <a href=""http://www.clearstone.com"">Clearstone Ventures</a> last April. Vast have established a very unique culture at which I really admire – the company is very engineering focused with every employee having a programming background and contributing code to this project. The team in San Francisco is Naval along with a few others such as a COO and VP of Products (who both also code). Their strong engineering focus comes through in their product which even at such an early stage is very well implemented, clean and stable with a huge (vast!) index.</p>, <p>Naval said that before he joined the team, he was looking for somebody who was crawling the web and dragging information out of thousands of sites, and he was surprised that not many people were taking that approach. Vast’s competition at the moment in the jobs space would be <a href=""http://www.simplyhired.com"">SimplyHired</a> and <a href=""http://www.indeed.com"">Indeed</a>, both of who index other sites – but the difference here being that those sites are not indexing the long tail, and a lot of human intervention is used to add source sites and to filter them. Vast’s job listings have identified 25,878 source sites – and it is finding more and more of them every day.</p>, <p><a href=""http://www.google.com"">Google</a> is in a position to attempt to recognize data in the way Vast does, they are already crawling the whole web – but the Google Base approach has been to setup a marketplace where others list their goods on its site. With the technology Vast have in finding listings in the long tail as well as the mainstream sites, it means they are not dependant on any one or few sources of data, and they will always be a superset of other sites out there attempting to aggregate listings just because of how well they crawl into the long tail.</p>, <p>Vast has it all for success, a smart and experienced team, some fantastic and innovative technology and a market strategy with its open API that will see it being used everywhere and widely adopted.</p>, <p><a href=""http://www.vast.com""><img alt=""vast screen 2"" class=""border"" src=""https://beta.techcrunch.com/wp-content/uploads/2006/03/vast-screen2.jpg"" width=""450""/></a></p>]"
